SURVEY: PS1MD
SNID:  PSc000174
IAUC:    UNKNOWN
RA:         162.0294  deg
DECL:        56.8502  deg
MWEBV:  0.0076  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.2440  +- 0.0000 CMB
SEARCH_PEAKMJD: 55212.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 481
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55161.6 g NULL  -4.414 19.435 nan -4.781
OBS: 55173.6 g NULL  3.271 11.190 -6.287 3.715
OBS: 55182.6 g NULL  -3.600 8.943 nan -2.697
OBS: 55188.6 g NULL  -1.560 10.123 nan -7.045
OBS: 55191.6 g NULL  0.170 10.314 -3.077 65.835
OBS: 55203.5 g NULL  84.803 10.756 -9.821 0.138
OBS: 55206.6 g NULL  148.281 10.509 -10.428 0.077
OBS: 55209.6 g NULL  218.603 11.381 -10.849 0.057
OBS: 55212.6 g NULL  224.624 10.199 -10.879 0.049
OBS: 55215.5 g NULL  248.460 10.624 -10.988 0.046
OBS: 55215.5 g NULL  248.563 10.943 -10.989 0.048
OBS: 55215.5 g NULL  255.373 9.762 -11.018 0.042
OBS: 55221.5 g NULL  211.189 11.469 -10.812 0.059
OBS: 55230.5 g NULL  109.508 32.115 -10.099 0.318
OBS: 55233.5 g NULL  82.008 15.031 -9.785 0.199
OBS: 55236.6 g NULL  50.437 13.162 -9.257 0.283
OBS: 55239.5 g NULL  20.230 10.249 -8.265 0.550
OBS: 55242.5 g NULL  25.041 8.729 -8.497 0.378
OBS: 55242.5 g NULL  25.665 9.309 -8.523 0.394
OBS: 55248.5 g NULL  1.731 8.677 -5.596 5.442
OBS: 55251.4 g NULL  46.327 24.629 -9.165 0.577
OBS: 55266.5 g NULL  27.726 13.907 -8.607 0.545
OBS: 55275.4 g NULL  -1.653 9.239 nan -6.067
OBS: 55281.3 g NULL  49.203 22.439 -9.230 0.495
OBS: 55293.4 g NULL  5.191 20.397 -6.788 4.266
OBS: 55302.4 g NULL  -8.774 25.545 nan -3.161
OBS: 55305.3 g NULL  -2.128 15.287 nan -7.800
OBS: 55320.4 g NULL  23.398 15.212 -8.423 0.706
OBS: 55326.3 g NULL  0.105 9.752 -2.557 100.456
OBS: 55326.3 g NULL  -12.102 10.474 nan -0.940
OBS: 55329.3 g NULL  3.326 9.957 -6.305 3.251
OBS: 55332.3 g NULL  21.845 9.105 -8.348 0.453
OBS: 55332.3 g NULL  23.869 8.653 -8.445 0.394
OBS: 55338.3 g NULL  2.303 34.633 -5.906 16.328
OBS: 55350.3 g NULL  -6.364 9.919 nan -1.692
OBS: 55350.3 g NULL  -1.560 10.288 nan -7.160
OBS: 55353.3 g NULL  28.456 11.684 -8.635 0.446
OBS: 55563.6 g NULL  -30.412 14.530 nan -0.519
OBS: 55572.6 g NULL  21.322 15.392 -8.322 0.784
OBS: 55584.6 g NULL  17.830 20.456 -8.128 1.246
OBS: 55587.6 g NULL  5.555 14.080 -6.862 2.752
OBS: 55590.6 g NULL  -5.935 8.151 nan -1.491
OBS: 55590.6 g NULL  1.414 8.539 -5.376 6.557
OBS: 55593.6 g NULL  5.353 10.359 -6.822 2.101
OBS: 55596.5 g NULL  20.260 11.408 -8.267 0.611
OBS: 55629.4 g NULL  -6.356 10.815 nan -1.847
OBS: 55632.5 g NULL  -5.974 10.303 nan -1.872
OBS: 55635.3 g NULL  -14.303 15.362 nan -1.166
OBS: 55635.3 g NULL  8.496 15.297 -7.323 1.955
OBS: 55650.5 g NULL  22.190 12.535 -8.365 0.613
OBS: 55653.5 g NULL  -1.608 12.325 nan -8.321
OBS: 55662.3 g NULL  -2.460 11.195 nan -4.940
OBS: 55662.3 g NULL  -7.505 12.116 nan -1.753
OBS: 55665.3 g NULL  19.993 13.503 -8.252 0.733
OBS: 55665.3 g NULL  20.541 12.916 -8.282 0.683
OBS: 55674.3 g NULL  -0.640 9.312 nan -15.791
OBS: 55674.3 g NULL  -1.864 9.809 nan -5.714
OBS: 55677.4 g NULL  11.854 10.006 -7.685 0.917
OBS: 55680.3 g NULL  0.434 13.155 -4.094 32.894
OBS: 55692.3 g NULL  -8.946 10.820 nan -1.313
OBS: 55692.3 g NULL  -5.399 10.696 nan -2.151
OBS: 55710.3 g NULL  6.800 10.730 -7.081 1.713
OBS: 55710.3 g NULL  3.027 9.111 -6.203 3.268
OBS: 55719.3 g NULL  -2.794 12.709 nan -4.939
OBS: 55719.3 g NULL  -14.611 10.644 nan -0.791
OBS: 55722.3 g NULL  1.263 23.354 -5.253 20.084
OBS: 55911.6 g NULL  -17.428 12.541 nan -0.781
OBS: 55911.6 g NULL  -13.771 13.672 nan -1.078
OBS: 55928.6 g NULL  -14.438 8.452 nan -0.636
OBS: 55928.6 g NULL  -7.169 7.897 nan -1.196
OBS: 55947.6 g NULL  -5.575 12.300 nan -2.396
OBS: 55947.6 g NULL  -5.572 12.306 nan -2.398
OBS: 55949.6 g NULL  -0.092 20.927 nan -248.053
OBS: 55949.6 g NULL  2.617 16.699 -6.044 6.929
OBS: 55952.6 g NULL  1.244 12.069 -5.237 10.534
OBS: 55952.6 g NULL  8.233 10.683 -7.289 1.409
OBS: 55955.6 g NULL  -0.818 8.767 nan -11.639
OBS: 55955.6 g NULL  5.555 8.046 -6.862 1.573
OBS: 55958.6 g NULL  -1.258 8.858 nan -7.644
OBS: 55958.6 g NULL  -0.455 9.174 nan -21.886
OBS: 55970.6 g NULL  -26.379 16.439 nan -0.677
OBS: 55970.6 g NULL  -10.722 15.710 nan -1.591
OBS: 55973.6 g NULL  -16.529 13.838 nan -0.909
OBS: 55973.6 g NULL  -18.308 14.754 nan -0.875
OBS: 55981.5 g NULL  0.701 9.075 -4.614 14.066
OBS: 55981.5 g NULL  -0.913 10.932 nan -13.006
OBS: 55984.4 g NULL  -14.019 14.168 nan -1.097
OBS: 55984.4 g NULL  -13.107 12.274 nan -1.017
OBS: 56000.4 g NULL  -0.710 9.980 nan -15.261
OBS: 56006.5 g NULL  3.981 13.062 -6.500 3.562
OBS: 56006.5 g NULL  5.803 9.653 -6.909 1.806
OBS: 56014.4 g NULL  7.221 9.057 -7.147 1.362
OBS: 56014.4 g NULL  -9.085 12.052 nan -1.440
OBS: 56029.4 g NULL  -0.435 10.177 nan -25.389
OBS: 56032.3 g NULL  5.264 10.399 -6.803 2.145
OBS: 56037.4 g NULL  -3.919 12.387 nan -3.432
OBS: 56040.3 g NULL  -12.417 10.813 nan -0.945
OBS: 56043.3 g NULL  13.255 8.373 -7.806 0.686
OBS: 56059.3 g NULL  -12.965 14.316 nan -1.199
OBS: 56062.3 g NULL  9.457 8.320 -7.439 0.955
OBS: 56065.3 g NULL  -0.901 7.913 nan -9.541
OBS: 56067.3 g NULL  17.906 9.238 -8.132 0.560
OBS: 56325.5 g NULL  -20.875 20.687 nan -1.076
OBS: 56328.5 g NULL  -1.843 12.731 nan -7.502
OBS: 56331.6 g NULL  -11.779 10.630 nan -0.980
OBS: 56333.6 g NULL  -4.241 8.785 nan -2.249
OBS: 56354.4 g NULL  10.392 13.863 -7.542 1.448
OBS: 56357.5 g NULL  6.876 11.395 -7.093 1.799
OBS: 56360.4 g NULL  -23.740 15.781 nan -0.722
OBS: 56384.5 g NULL  -32.628 16.306 nan -0.543
OBS: 56387.3 g NULL  -0.452 12.628 nan -30.367
OBS: 56390.3 g NULL  -23.011 18.476 nan -0.872
OBS: 56395.3 g NULL  6.798 13.095 -7.081 2.092
OBS: 56398.4 g NULL  51.552 32.851 -9.281 0.692
OBS: 56401.3 g NULL  23.592 14.365 -8.432 0.661
OBS: 56421.3 g NULL  11.329 9.558 -7.635 0.916
OBS: 56427.3 g NULL  -24.933 13.697 nan -0.596
OBS: 56430.3 g NULL  -18.027 39.149 nan -2.358
OBS: 56443.3 g NULL  21.635 10.205 -8.338 0.512
OBS: 56709.5 g NULL  16.050 15.906 -8.014 1.076
OBS: 55161.6 r NULL  -7.645 22.467 nan -3.191
OBS: 55182.6 r NULL  -9.421 11.308 nan -1.303
OBS: 55188.7 r NULL  -3.239 11.737 nan -3.935
OBS: 55203.6 r NULL  82.692 10.725 -9.794 0.141
OBS: 55206.6 r NULL  158.590 11.752 -10.501 0.080
OBS: 55209.6 r NULL  200.212 11.937 -10.754 0.065
OBS: 55212.6 r NULL  258.543 10.840 -11.031 0.046
OBS: 55215.5 r NULL  284.357 12.726 -11.135 0.049
OBS: 55221.5 r NULL  265.859 11.853 -11.062 0.048
OBS: 55230.5 r NULL  228.871 35.950 -10.899 0.171
OBS: 55233.5 r NULL  171.016 13.826 -10.583 0.088
OBS: 55236.6 r NULL  118.197 12.197 -10.182 0.112
OBS: 55239.5 r NULL  115.552 10.777 -10.157 0.101
OBS: 55239.5 r NULL  114.198 10.064 -10.144 0.096
OBS: 55242.5 r NULL  97.904 10.423 -9.977 0.116
OBS: 55248.5 r NULL  68.359 13.021 -9.587 0.207
OBS: 55251.4 r NULL  58.984 19.210 -9.427 0.354
OBS: 55266.5 r NULL  -2.127 21.616 nan -11.035
OBS: 55275.5 r NULL  34.747 12.812 -8.852 0.400
OBS: 55281.3 r NULL  -0.296 18.633 nan -68.414
OBS: 55302.4 r NULL  14.964 23.140 -7.938 1.679
