# The All Sky Automated Survey Data
# gp@astrouw.edu.pl
#
# ################   DESCRIPTION   ###############
# The ASAS Photometric Catalog is maintained separately for each
# observed field, so for some stars independent 'datasets' of
# measurements are available. Their mean magnitudes may slightly differ.
#
# In each 'dataset' (starting with #dataset=0,1,2,...):
# 'desig' is ASAS designation (they may differ (by 1) at the last
# digit of the RA & DEC fields)
# 'cra', 'cdec' are initial Catalog coordinates
# 'ndata' is number of points in each dataset
# 'cmag_*',  'cmer_*' are reference magnitude & dispersion for each aperture
# 'nskip_*' is number of data points skipped when calculating 'cmag' & 'cmer'
# 'ra', 'dec', 'mag', 'mer' are coordinates, magnitude and dispersion
# calculated directly from the data
#
# Each data row consists of the following fields:
# -  HJD-2450000
# -  magnitudes (one for each aperture)
# -  frame errors describing average photometric quality of the frame (for each aperture)
# -  frame number
# -  grade :
#    A - best data, no 29.999 (not measured) indication
#    B - mean data, no 29.999 (not measured) indication
#    C - A and B with 29.999 (not measured) indication
#    D - worst data, probably useless
#
# ######### LIGHT CURVE BEGINS NEXT LINE ###########
#ndata= 227
#dataset= 1 ; 1 F0700-64_043
#desig= 065307-5935.7
#cra=    6.885405  06:53:07.5
#cdec= -59.595626 -59:35:44.3
#class= 0
#cmag_0= 11.981
#cmer_0=  0.274
#nskip_0= 1
#cmag_1= 11.978
#cmer_1=  0.274
#nskip_1= 1
#cmag_2= 11.973
#cmer_2=  0.267
#nskip_2= 1
#cmag_3= 11.973
#cmer_3=  0.268
#nskip_3= 1
#cmag_4= 11.983
#cmer_4=  0.271
#nskip_4= 4
#ra=    6.885404  06:53:07.5
#dec= -59.595600 -59:35:44.2
#     HJD      MAG_1  MAG_0  MAG_2  MAG_3  MAG_4    MER_1 MER_0 MER_2 MER_3 MER_4 GRADE FRAME
   1869.74854 12.260 12.271 12.226 12.184 12.190    0.030 0.058 0.027 0.031 0.037  A 292
   1875.76359 11.497 11.548 11.495 11.507 11.523    0.031 0.069 0.028 0.032 0.041  B 1221
   1877.76186 12.222 12.248 12.222 12.246 12.284    0.029 0.050 0.025 0.029 0.033  A 1539
   1879.75361 12.023 12.049 12.048 12.054 12.049    0.026 0.037 0.024 0.027 0.032  A 1851
   1881.72783 11.561 11.549 11.553 11.542 11.538    0.029 0.045 0.025 0.027 0.032  A 2154
   1884.70932 11.637 11.669 11.661 11.676 11.666    0.030 0.045 0.026 0.028 0.034  A 2295
   1885.71965 12.034 12.073 12.038 12.064 12.092    0.030 0.040 0.024 0.027 0.031  A 2459
   1887.71443 11.745 11.802 11.720 11.715 11.717    0.032 0.051 0.027 0.030 0.036  A 2776
   1888.71132 12.174 12.163 12.162 12.181 12.157    0.030 0.052 0.027 0.030 0.035  A 2935
   1902.67449 12.111 12.111 12.113 12.101 12.096    0.030 0.040 0.023 0.026 0.030  A 3525
   1903.69102 12.297 12.282 12.278 12.283 12.289    0.030 0.051 0.025 0.028 0.034  A 3692
   1904.67398 11.778 11.836 11.765 11.770 11.790    0.028 0.046 0.025 0.028 0.033  A 3844
   1905.68298 12.198 12.164 12.181 12.162 12.165    0.029 0.043 0.024 0.027 0.033  A 4010
   1906.67407 11.878 11.920 11.875 11.862 11.861    0.029 0.042 0.024 0.027 0.031  A 4168
   1907.68106 11.901 11.939 11.885 11.874 11.878    0.031 0.039 0.024 0.026 0.030  A 4331
   1908.67334 12.269 12.281 12.240 12.251 12.266    0.031 0.043 0.024 0.027 0.031  A 4489
   1913.65004 11.998 11.978 12.014 12.027 12.026    0.027 0.035 0.024 0.026 0.030  A 4616
