ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
1.999718,0.9592915,1.370582,1.692535,5.454633,2.344662,0.8708095,1.0
1.98884,0.9332962,1.361919,1.668918,5.177937,2.424093,0.9946066,0.8865207
1.020407,1.601521,2.396175,2.827263,5.846272,1.158836,0.6898293,1.0
1.83742,1.211882,1.688545,1.989878,7.145427,2.795447,0.7493948,1.0
4.55904,1.536175,2.29286,2.712597,4.741546,2.09032,0.5173162,0.8244159
4.532835,1.433081,2.251518,2.669952,8.930706,1.656738,0.6116931,1.0
2.075247,1.267462,1.746914,2.053957,5.091534,2.249913,0.6196061,1.0
1.677757,1.102043,1.582317,1.902397,6.5472,2.809995,0.8713289,0.9118057
1.858603,0.9054127,1.364218,1.661177,6.641626,2.84336,0.4171,1.0
2.1474,1.623241,2.260538,2.703392,2.730807,1.252324,0.3585599,0.6629297
2.596178,1.578781,2.520107,3.093014,2.63223,1.165497,0.4484372,0.0
1.857225,0.874958,1.310269,1.56598,5.100227,2.224089,0.7232268,0.5375076
3.063562,1.578604,2.49777,2.941751,2.458665,1.436143,0.9998683,1.0
1.924702,1.13822,1.597107,1.941621,5.137578,2.227417,0.9072531,1.0
2.896105,1.407164,1.899513,2.225304,6.031485,2.599238,0.85859,1.0
3.880278,1.801584,2.496326,2.780525,2.631229,1.334401,0.8402566,0.7475431
2.070011,2.026037,2.890808,3.463774,2.534473,1.29521,0.6001242,0.5694317
2.812254,1.921589,2.45793,2.835175,3.183329,1.4238,0.8073246,0.9629495
2.54414,1.753706,2.406662,2.868029,2.769078,1.233437,0.8186246,0.8906807
1.607714,0.9035435,1.300255,1.611595,3.508616,1.656382,0.6417061,0.8505408
1.103594,0.7531796,1.14785,1.401991,4.533858,1.959471,0.7846222,0.9863552
0.8373299,1.865288,2.558155,2.914291,2.883742,1.441634,0.4511454,0.8713843
1.079386,0.6128845,1.01762,1.264866,4.702145,2.927876,0.6402507,0.5651465
1.107616,0.7144566,1.241516,1.513588,2.709057,1.250044,0.7313938,0.788921
