SURVEY: PS1MD
SNID:  PSc000098
IAUC:    UNKNOWN
RA:         184.9064  deg
DECL:        46.0322  deg
MWEBV:  0.0127  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.0570  +- 0.0000 CMB
SEARCH_PEAKMJD: 55212.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 401
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 54980.4 g NULL  0.258 10.339 -3.527 43.594
OBS: 54993.3 g NULL  -3.994 12.945 nan -3.519
OBS: 54996.3 g NULL  -17.450 14.218 nan -0.885
OBS: 54999.3 g NULL  25.615 15.484 -8.521 0.656
OBS: 55002.3 g NULL  20.129 15.184 -8.260 0.819
OBS: 55191.6 g NULL  9.983 11.099 -7.498 1.207
OBS: 55203.6 g NULL  902.604 25.486 -12.389 0.031
OBS: 55209.6 g NULL  957.489 12.279 -12.453 0.014
OBS: 55212.6 g NULL  872.977 14.896 -12.353 0.019
OBS: 55215.6 g NULL  796.478 21.253 -12.253 0.029
OBS: 55221.6 g NULL  581.598 34.436 -11.912 0.064
OBS: 55230.6 g NULL  409.259 23.048 -11.530 0.061
OBS: 55233.5 g NULL  300.038 16.632 -11.193 0.060
OBS: 55236.6 g NULL  302.893 18.958 -11.203 0.068
OBS: 55239.5 g NULL  320.840 13.017 -11.266 0.044
OBS: 55242.5 g NULL  297.996 13.486 -11.186 0.049
OBS: 55248.5 g NULL  236.666 10.032 -10.935 0.046
OBS: 55251.5 g NULL  231.476 19.091 -10.911 0.090
OBS: 55251.5 g NULL  233.701 19.387 -10.922 0.090
OBS: 55266.5 g NULL  129.165 21.445 -10.278 0.180
OBS: 55269.6 g NULL  179.171 17.688 -10.633 0.107
OBS: 55272.6 g NULL  149.050 13.567 -10.433 0.099
OBS: 55275.5 g NULL  123.718 12.690 -10.231 0.111
OBS: 55301.3 g NULL  78.894 17.866 -9.743 0.246
OBS: 55302.4 g NULL  63.986 16.345 -9.515 0.277
OBS: 55305.3 g NULL  33.572 16.283 -8.815 0.527
OBS: 55326.4 g NULL  29.848 13.454 -8.687 0.489
OBS: 55329.4 g NULL  27.248 12.551 -8.588 0.500
OBS: 55332.3 g NULL  -10.565 9.312 nan -0.957
OBS: 55350.3 g NULL  -3.570 12.699 nan -3.862
OBS: 55353.3 g NULL  2.264 11.780 -5.887 5.648
OBS: 55359.3 g NULL  10.604 20.973 -7.564 2.147
OBS: 55362.3 g NULL  6.308 12.025 -7.000 2.070
OBS: 55365.3 g NULL  2.016 14.533 -5.761 7.826
OBS: 55596.6 g NULL  3.276 9.232 -6.288 3.060
OBS: 55602.5 g NULL  -18.103 10.966 nan -0.658
OBS: 55605.6 g NULL  26.290 25.743 -8.549 1.063
OBS: 55632.6 g NULL  -22.172 16.793 nan -0.822
OBS: 55635.5 g NULL  -34.500 16.790 nan -0.528
OBS: 55650.6 g NULL  17.789 20.490 -8.125 1.251
OBS: 55653.5 g NULL  -7.067 11.486 nan -1.765
OBS: 55662.4 g NULL  -6.380 10.011 nan -1.704
OBS: 55665.3 g NULL  1.645 16.666 -5.540 10.999
OBS: 55674.3 g NULL  -2.665 9.223 nan -3.758
OBS: 55677.4 g NULL  2.976 9.988 -6.184 3.645
OBS: 55680.3 g NULL  17.005 15.217 -8.076 0.972
OBS: 55692.4 g NULL  -35.449 12.173 nan -0.373
OBS: 55701.3 g NULL  -6.510 9.012 nan -1.503
OBS: 55710.3 g NULL  -2.868 8.591 nan -3.252
OBS: 55719.3 g NULL  9.476 12.383 -7.442 1.419
OBS: 55722.3 g NULL  -38.682 31.447 nan -0.883
OBS: 55731.3 g NULL  1.362 19.063 -5.335 15.198
OBS: 55947.6 g NULL  13.151 14.234 -7.797 1.175
OBS: 55949.6 g NULL  26.682 15.559 -8.566 0.633
OBS: 55952.6 g NULL  -7.621 9.295 nan -1.324
OBS: 55955.7 g NULL  0.894 16.210 -4.878 19.687
OBS: 55970.6 g NULL  3.232 16.884 -6.274 5.672
OBS: 55973.6 g NULL  4.296 20.413 -6.583 5.159
OBS: 55981.6 g NULL  14.684 9.218 -7.917 0.682
OBS: 55984.6 g NULL  -6.443 12.715 nan -2.143
OBS: 56000.5 g NULL  -14.035 9.873 nan -0.764
OBS: 56006.5 g NULL  -9.873 14.002 nan -1.540
OBS: 56029.5 g NULL  -8.331 13.525 nan -1.763
OBS: 56032.3 g NULL  -5.518 9.719 nan -1.912
OBS: 56037.4 g NULL  8.178 11.712 -7.282 1.555
OBS: 56043.3 g NULL  9.780 9.413 -7.476 1.045
OBS: 56046.5 g NULL  6.484 13.354 -7.030 2.236
OBS: 56059.3 g NULL  46.560 22.290 -9.170 0.520
OBS: 56062.3 g NULL  4.550 8.169 -6.645 1.949
OBS: 56065.3 g NULL  5.152 10.525 -6.780 2.218
OBS: 56067.3 g NULL  5.782 8.602 -6.905 1.615
OBS: 56325.6 g NULL  12.283 21.567 -7.723 1.906
OBS: 56328.6 g NULL  -16.819 12.765 nan -0.824
OBS: 56331.6 g NULL  1.773 10.560 -5.622 6.467
OBS: 56336.6 g NULL  6.438 10.263 -7.022 1.731
OBS: 56354.6 g NULL  -2.832 17.449 nan -6.689
OBS: 56357.6 g NULL  -2.779 12.517 nan -4.891
OBS: 56371.5 g NULL  11.357 15.258 -7.638 1.459
OBS: 56384.5 g NULL  -8.869 18.527 nan -2.268
OBS: 56387.5 g NULL  -1.333 18.998 nan -15.470
OBS: 56390.4 g NULL  -23.162 17.613 nan -0.826
OBS: 56398.5 g NULL  2.329 16.476 -5.918 7.679
OBS: 56401.3 g NULL  -27.392 13.370 nan -0.530
OBS: 56416.4 g NULL  0.150 16.744 -2.940 121.276
OBS: 56421.3 g NULL  7.189 8.956 -7.142 1.353
OBS: 56427.3 g NULL  15.371 12.892 -7.967 0.911
OBS: 56430.4 g NULL  -3.325 18.796 nan -6.137
OBS: 56443.3 g NULL  -4.488 10.359 nan -2.506
OBS: 56451.3 g NULL  -35.957 44.067 nan -1.331
OBS: 56460.3 g NULL  2.074 11.769 -5.792 6.161
OBS: 56478.3 g NULL  2.703 9.770 -6.080 3.924
OBS: 54941.4 r NULL  21.874 17.210 -8.350 0.854
OBS: 54952.4 r NULL  3.601 17.802 -6.391 5.368
OBS: 54953.3 r NULL  4.669 17.194 -6.673 3.998
OBS: 54993.4 r NULL  -24.040 20.109 nan -0.908
OBS: 54996.3 r NULL  62.104 79.099 -9.483 1.383
OBS: 54999.3 r NULL  45.684 22.922 -9.149 0.545
OBS: 55002.3 r NULL  -34.069 22.532 nan -0.718
OBS: 55191.6 r NULL  4.368 17.018 -6.601 4.230
OBS: 55203.6 r NULL  837.500 19.425 -12.307 0.025
OBS: 55209.6 r NULL  899.381 25.478 -12.385 0.031
OBS: 55212.6 r NULL  870.220 24.913 -12.349 0.031
OBS: 55215.6 r NULL  852.696 18.875 -12.327 0.024
OBS: 55221.6 r NULL  880.773 25.762 -12.362 0.032
OBS: 55230.6 r NULL  670.187 28.329 -12.065 0.046
